PROJECT,SITE_NUMBE,SITE_NAME,DNA#,N or S of Hwy 3,EAST,NORTH,ORIGIN,Drainage,YEAR
SP 1998,SP8,L. White Cr.,,,550300,5514100,SP98,x,1998
SP 1998,SP9,Manson Cr.,,,546400,5516100,SP98,x,1998
SP 1998,SP10,U. Dewar Cr.,,,538300,5528000,SP98,x,1998
SP 1998,SP11,M. Dewar Cr.,,,538700,5523400,SP98,x,1998
SP 1998,SP12,L. Dewar Cr.,,,538800,5517700,SP98,x,1998
SP 1998,SP13,Meacham Cr.,,,543300,5489800,SP98,x,1998
SP 1998,SP14,U St. Mary's,,,529000,5522600,SP98,x,1998
SP 1998,SP15,UM. St. Marys,,,528400,5516800,SP98,x,1998
SP 1998,SP16,LM. St. Marys,,,530700,5512900,SP98,x,1998
SP 1998,SP17,L. St. Marys R,,,536800,5511500,SP98,x,1998
SP 1998,SP18,Sawyer Cr.,,,531000,5508300,SP98,x,1998
Jumbo 1998,J1,Stockdale,,,527500,5603000,J98,x,1998
Jumbo 1998,J2,Stockdale,,,533700,5602400,J98,x,1998
Jumbo 1998,J3,Horsethief,,,538500,5601600,J98,x,1998
Jumbo 1998,J4,Horsethief,,,543000,5602000,J98,x,1998
Jumbo 1998,J5,Horsethief,,,545700,5601900,J98,x,1998
Jumbo 1998,J6,Horsethief,,,550700,5604700,J98,x,1998
Jumbo 1998,J7,Stockdale,,,524900,5599500,J98,x,1998
Jumbo 1998,J8,Horsethief,,,533900,5598800,J98,x,1998
Jumbo 1998,J9,McDonald,,,539500,5598800,J98,x,1998
Jumbo 1998,J10,Gopher,,,544500,5598400,J98,x,1998
Jumbo 1998,J11,Law,,,546000,5596000,J98,x,1998
Jumbo 1998,J12,Bruce,,,549700,5594500,J98,x,1998
Jumbo 1998,J13,Horsethief,,,529000,5592700,J98,x,1998
Jumbo 1998,J14,Horsethief,,,530900,5594900,J98,x,1998
Jumbo 1998,J15,McDonald,,,538700,5594100,J98,x,1998
Jumbo 1998,J17,Bruce,,,547200,5592500,J98,x,1998
Jumbo 1998,J18,Spring,,,550200,5592100,J98,x,1998
Jumbo 1998,J19,NF Glacier,,,518400,5585100,J98,x,1998
Jumbo 1998,J20,Starbird P,,,520800,5586800,J98,x,1998
Jumbo 1998,J21,Horsethief,,,526000,5589500,J98,x,1998
Jumbo 1998,J22,Farnham,,,533800,5590200,J98,x,1998
Jumbo 1998,J23,Farnham,,,535400,5586600,J98,x,1998
Jumbo 1998,J24,Delphine,,,541800,5584900,J98,x,1998
Jumbo 1998,J25,Clearwater,,,549700,5589200,J98,x,1998
Jumbo 1998,J26,Toby,,,550500,5586800,J98,x,1998
Jumbo 1998,J27,NF Glacier,,,519300,5584200,J98,x,1998
Jumbo 1998,J28,NF Glacier - M,,,523000,5582600,J98,x,1998
Jumbo 1998,J29,Jumbo,,,527600,5582600,J98,x,1998
Jumbo 1998,J30,Jumbo,,,533000,5581300,J98,x,1998
Jumbo 1998,J31,Jumbo,,,536300,5581500,J98,x,1998
Jumbo 1998,J32,Jumbo,,,541800,5580200,J98,x,1998
Jumbo 1998,J33,Toby,,,547600,5582000,J98,x,1998
Jumbo 1998,J34,Barbour,,,550900,5583800,J98,x,1998
Jumbo 1998,J35,Birnam,,,512900,5579000,J98,x,1998
Jumbo 1998,J36,Glacier,,,515900,5578500,J98,x,1998
Jumbo 1998,J37,SF Glacier,,,524600,5576400,J98,x,1998
Jumbo 1998,J38,Jumbo,,,529400,5579200,J98,x,1998
Jumbo 1998,J39,Jumbo,,,532000,5576500,J98,x,1998
Jumbo 1998,J40,Jumbo,,,536600,5579200,J98,x,1998
Jumbo 1998,J41,Jumbo,,,539700,5578800,J98,x,1998
Jumbo 1998,J42,Toby,,,545500,5579400,J98,x,1998
Jumbo 1998,J43,Mineral,,,552700,5579400,J98,x,1998
Jumbo 1998,J44,McLeod,,,511800,5569000,J98,x,1998
Jumbo 1998,J45,Glacier,,,515900,5574000,J98,x,1998
Jumbo 1998,J47,Hamill,,,527200,5570200,J98,x,1998
Jumbo 1998,J48,Toby,,,533500,5570800,J98,x,1998
Jumbo 1998,J49,Pharaoh,,,537100,5573900,J98,x,1998
Jumbo 1998,J50,Stark,,,542200,5572800,J98,x,1998
Jumbo 1998,J51,Coppercrown,,,546700,5575000,J98,x,1998
Jumbo 1998,J52,Hamill,,,511600,5566500,J98,x,1998
Jumbo 1998,J53,Hamill,,,518600,5569900,J98,x,1998
Jumbo 1998,J54,Hamill,,,524900,5569000,J98,x,1998
Jumbo 1998,J55,Hamill,,,529200,5568800,J98,x,1998
Jumbo 1998,J56,Toby,,,533700,5567400,J98,x,1998
Jumbo 1998,J57,S. Toby,,,536500,5566800,J98,x,1998
Jumbo 1998,J58,Toby,,,540400,5567500,J98,x,1998
Jumbo 1998,J59,Clint,,,513000,5560800,J98,x,1998
Jumbo 1998,J60,Crazy,,,516200,5562400,J98,x,1998
Jumbo 1998,J61,Hamill,,,521300,5564400,J98,x,1998
Jumbo 1998,J64,S. Toby,,,537200,5563400,J98,x,1998
Jumbo 1998,J65,Clint,,,511500,5556900,J98,x,1998
Jumbo 1998,J66,Clint,,,515400,5559600,J98,x,1998
Jumbo 1998,Jumbo Pass,Jumbo,,,527200,5577700,J98,x,1998
S Selkirk 2005,SS,Laska Meadows,10958,,490864,5490279,SS2005,,2005
S Selkirk 2005,SS,Lower Mill Cr.,10957,,495650,5490510,SS2005,,2005
S Selkirk 2005,SS,Lower Narrows,10973,,500923,5492075,SS2005,,2005
S Selkirk 2005,SS,Irvine Cr.,10960,,505784,5493319,SS2005,,2005
S Selkirk 2005,SS,5-Mile North,10655,,485895,5485070,SS2005,,2005
S Selkirk 2005,SS,Lower Laska,10652,,492571,5486391,SS2005,Laska,2005
S Selkirk 2005,SS,Lower Laska,10652,,492571,5486391,SS2005,,2005
S Selkirk 2005,SS,Upper Mill Cr.,10956,,496750,5489823,SS2005,,2005
S Selkirk 2005,SS,Upper Narrows,10974,,501768,5488966,SS2005,,2005
S Selkirk 2005,SS,Wilson Cr.,10961,,504673,5487656,SS2005,,2005
S Selkirk 2005,SS,Anderson Creek,10657,,484889,5480310,SS2005,,2005
S Selkirk 2005,SS,5-Mile South,10656,,487986,5483006,SS2005,,2005
S Selkirk 2005,SS,Upper Laska,10651,,493073,5483516,SS2005,Laska,2005
S Selkirk 2005,SS,Upper Laska,10651,,493073,5483516,SS2005,,2005
S Selkirk 2005,SS,Laskutetl,10985,,498439,5481153,SS2005,,2005
S Selkirk 2005,SS,Upper Midge Cr.,10966,,501311,5481453,SS2005,,2005
S Selkirk 2005,SS,North Conway,10995,,505310,5481570,SS2005,,2005
S Selkirk 2005,SS,Sealous Creek,10658,,482707,5479194,SS2005,,2005
S Selkirk 2005,SS,Evening Ridge,10653,,487150,5477690,SS2005,,2005
S Selkirk 2005,SS,Ymir Bowl,10654,,490181,5476363,SS2005,,2005
S Selkirk 2005,SS,Upper Kutetl,10969,,497927,5478589,SS2005,,2005
S Selkirk 2005,SS,Lower Seeman,10971,,501474,5475684,SS2005,,2005
S Selkirk 2005,SS,South Conway,10994,,505223,5479000,SS2005,,2005
S Selkirk 2005,SS,Qua Creek,10952,,489274,5472987,SS2005,,2005
S Selkirk 2005,SS,Qua Pass,10981,,492827,5471756,SS2005,,2005
S Selkirk 2005,SS,Seeman-Alder Cr.,10983,,496567,5473279,SS2005,,2005
S Selkirk 2005,SS,Diana,10868,,501568,5471798,SS2005,Hughes,2005
S Selkirk 2005,SS,Lower Midge,10801,,505201,5474477,SS2005,,2005
S Selkirk 2005,SS,Drewry Point,10970,,511351,5472665,SS2005,,2005
S Selkirk 2005,SS,Huckleberry Cr.,10951,,487473,5467367,SS2005,,2005
S Selkirk 2005,SS,Avalanche Cr.,10953,,491129,5466550,SS2005,,2005
S Selkirk 2005,SS,Three Bears,10857,,498204,5465745,SS2005,Laib,2005
S Selkirk 2005,SS,White Trillium,10856,,500289,5465798,SS2005,Laib,2005
S Selkirk 2005,SS,Laib Clearcut,10855,,507282,5466613,SS2005,Laib,2005
S Selkirk 2005,SS,MacGregor,10854,,511598,5465211,SS2005,,2005
S Selkirk 2005,SS,Ymir Cr.,10954,,487129,5462956,SS2005,,2005
S Selkirk 2005,SS,Wren Cr.,10955,,491781,5462842,SS2005,,2005
S Selkirk 2005,SS,Wolf,10858,,496577,5463058,SS2005,N. Cultus,2005
S Selkirk 2005,SS,Blasted Mtn Goat,10851,,501904,5461779,SS2005,Cultus,2005
S Selkirk 2005,SS,Bear Grass,"10804, 10852",,506708,5461241,SS2005,Cultus,2005
S Selkirk 2005,SS,Mock Orange,10853,,511867,5463396,SS2005,Cultus,2005
S Selkirk 2005,SS,Oscar,10872,,487958,5459000,SS2005,Oscar,2005
S Selkirk 2005,SS,Porky,10870,,492016,5456416,SS2005,Porcupine,2005
S Selkirk 2005,SS,Baby Bears,10871,,497492,5456406,SS2005,Porcupine,2005
S Selkirk 2005,SS,Kloosh,10869,,502873,5457103,SS2005,Kloosh,2005
