#Session,ID,Occassion,Detector,Sex
Southern_Rockies_2017,SR_5983,5,1795562_583040_RT,M
Southern_Rockies_2017,SR_5983,5,1795407_584072_RT,M
Southern_Rockies_2017,SR_6151,1,1780476_644574_RT,M
Southern_Rockies_2017,SR_6151,4,1775545_645607_RT,M
Southern_Rockies_2017,SR_6151,4,1774876_646894_RT,M
Southern_Rockies_2017,SR_6151,4,1776647_644490_RT,M
Southern_Rockies_2017,SR_6207,3,1838973_536336_RT,M
Southern_Rockies_2017,SR_6276,2,1804522_600988_RT,M
Southern_Rockies_2017,SR_6276,4,1796780_629159_RT,M
Southern_Rockies_2017,SR_6276,5,1803371_621692_RT,M
Southern_Rockies_2017,SR_6276,5,1799949_623550_RT,M
Southern_Rockies_2017,SR_6325,5,1809798_591190_RT,F
Southern_Rockies_2017,SR_6563,4,1798750_624234_RT,F
Southern_Rockies_2017,SR_6563,4,1788397_630450_RT,F
Southern_Rockies_2017,SR_6563,4,1798055_632395_RT,F
Southern_Rockies_2017,SR_6563,5,1798750_624234_RT,F
Southern_Rockies_2017,SR_6563,5,1787364_632132_RT,F
Southern_Rockies_2017,SR_7040,4,1787374_563349_RT,M
Southern_Rockies_2017,SR_7078,4,1782453_560608_RT,M
Southern_Rockies_2017,SR_7093,3,1782453_560608_RT,M
Southern_Rockies_2017,SR_7305,5,1809814_591193_RT,F
Southern_Rockies_2017,SR_7396,1,1808878_561548_RT,M
Southern_Rockies_2017,SR_7522,1,1782010_644159_RT,M
Southern_Rockies_2017,SR_7522,1,1781005_637342_RT,M
Southern_Rockies_2017,SR_7522,1,1780438_637387_RT,M
Southern_Rockies_2017,SR_7522,2,1782010_644159_RT,M
Southern_Rockies_2017,SR_7522,2,1781005_637342_RT,M
Southern_Rockies_2017,SR_7522,2,1775348_645866_RT,M
Southern_Rockies_2017,SR_7522,2,1787364_632132_RT,M
Southern_Rockies_2017,SR_7522,3,1775545_645607_RT,M
Southern_Rockies_2017,SR_7522,3,1781168_648898_RT,M
Southern_Rockies_2017,SR_7522,4,1775348_645866_RT,M
Southern_Rockies_2017,SR_7522,5,1780438_637387_RT,M
