Sample ID,HTorRT,Area,GBPU,Name/WGI_ID,Name/Apps/WGI,NEWIDS,HT_ID,pooled RTs,Site Name,Northing,Easting,Latitude,Long ,YR,MO,DY,Session,Cell,HTs,RTs,ID,HIT,Individual,Sex
,RT,Blowdown,,,,NONE,,RT Blowdown 3,RT Blowdown 3,5579358,559320,50.3633011,-122.1659766,2014,8,19,3,,,,,,,
,RT,Blowdown,,,,NONE,,RT Blowdown 3,RT Blowdown 3,5579358,559320,50.3633011,-122.1659766,2014,9,28,4,,,,,,,
Georgia110610-C,C,Boulder,SN,Georgia,Georgia F60,Georgia,,,,5593163,568651,50.4864,-122.0323,2010,6,11,0,X,,,F60,1,54010c1,F
,HT,Boulder,,,,NONE,,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,8,1,,,,,,,
DNA13-2,HT,Boulder,SN,Jewel,Jewel F321,Jewel,36,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,25,2,,10,3,F321,1,may2,F
DNA13-4-2,HT,Boulder,SN,Jewel,Jewel F321,Jewel,36,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,25,2,,10,3,F321,2,may2,F
DNA13-6-2,HT,Boulder,SN,Jewel,Jewel F321,Jewel,36,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,25,2,,10,3,F321,3,may2,F
DNA13-8,HT,Boulder,SN,Jewel,Jewel F321,Jewel,36,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2010,7,25,2,,10,3,F321,4,may2,F
HT Boulder E-290614-1,HT,Boulder,SN,Georgia,Georgia F60,Georgia,37,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2014,6,29,1,,20,20,F60,1,54010c1,F
,HT,Boulder,,,,NONE,,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2014,7,16,2,,,,,,,
,HT,Boulder,,,,NONE,,,HT Boulder 2010,5594616,569048,50.4994,-122.0264,2014,8,18,3,,,,,,,
