ID,Trap ID per site,Sampling Project,Use in Popn Analysis,Sessions,Site,Easting,Northing,Sess 1,Sess 2,Sess 3,Sess 4,Sess 5
243,Reg-2006-71,Region-2006,yes,4,71,545663.73,5512188.25,,,,,
244,Reg-2006-72,Region-2006,yes,4,72,554937.65,5511093.72,,,,,
245,Reg-2006-73,Region-2006,yes,4,73,499898.73,5501551.59,,,,,
246,Reg-2006-74,Region-2006,yes,4,74,505852.08,5503722.72,,,,,
247,Reg-2006-75,Region-2006,yes,4,75,518131.78,5504350.27,,,,,
248,Reg-2006-76,Region-2006,yes,4,76,529030,5506453,,,,,
249,Reg-2006-77,Region-2006,yes,4,77,535960,5508762,,,,,
250,Reg-2006-78,Region-2006,yes,4,78,544460,5504197,,,,,
251,Reg-2006-79,Region-2006,yes,4,79,554208,5504140,,,,,
252,Reg-2006-80,Region-2006,yes,4,80,560930.67,5500424.67,,,,,
253,Reg-2006-81,Region-2006,yes,4,81,489452.84,5514831.14,,,,,
254,Reg-2006-82,Region-2006,yes,4,82,496012.94,5491828.74,,,,,
255,Reg-2006-83,Region-2006,yes,4,83,509032.46,5489639.04,,,,,
256,Reg-2006-84,Region-2006,yes,4,84,519319.86,5494427.94,,,,,
257,Reg-2006-85,Region-2006,yes,4,85,523537.52,5496875.68,,,,,
258,Reg-2006-86,Region-2006,yes,4,86,532036,5496507,,,,,
259,Reg-2006-87,Region-2006,yes,4,87,541279.36,5495539.87,,,,,
260,Reg-2006-88,Region-2006,yes,4,88,558590,5496222,,,,,
261,Reg-2006-89,Region-2006,yes,4,89,564981,5498192,,,,,
262,Reg-2006-90,Region-2006,yes,4,90,570209,5494981,,,,,
263,Reg-2006-91,Region-2006,yes,4,91,484790.46,5487318.08,,,,,
264,Reg-2006-92,Region-2006,yes,4,92,490378.98,5483569.85,,,,,
265,Reg-2006-93,Region-2006,yes,4,93,507613.49,5484674.72,,,,,
266,Reg-2006-94,Region-2006,yes,4,94,517199.75,5486221.5,,,,,
267,Reg-2006-95,Region-2006,yes,4,95,523922.12,5485500.12,,,,,
268,Reg-2006-96,Region-2006,yes,4,96,535000,5483148,,,,,
269,Reg-2006-97,Region-2006,yes,4,97,542628.94,5484826.78,,,,,
270,Reg-2006-98,Region-2006,yes,4,98,558737.02,5485485.74,,,,,
271,Reg-2006-99,Region-2006,yes,4,99,566388,5483683,,,,,
272,Reg-2006-100,Region-2006,yes,4,100,570087,5488853,,,,,
273,Reg-2006-101,Region-2006,yes,4,101,486867.64,5475066.74,,,,,
274,Reg-2006-102,Region-2006,yes,4,102,497144.32,5478071.94,,,,,
275,Reg-2006-103,Region-2006,yes,4,103,506150.57,5476755.39,,,,,
276,Reg-2006-104,Region-2006,yes,4,104,519472.3,5477351.75,,,,,
277,Reg-2006-105,Region-2006,yes,4,105,525923.32,5477369.28,,,,,
278,Reg-2006-106,Region-2006,yes,4,106,537893.15,5476180.99,,,,,
279,Reg-2006-107,Region-2006,yes,4,107,539399.15,5469513.17,,,,,
280,Reg-2006-108,Region-2006,yes,4,108,560462.77,5471727.57,,,,,
281,Reg-2006-109,Region-2006,yes,4,109,562978,5474410,,,,,
282,Reg-2006-110,Region-2006,yes,4,110,576486,5475764,,,,,
283,Reg-2007-1,Region-2007,yes,4,1,425212.02,5693187.86,,M177,M202,,
284,Reg-2007-2,Region-2007,yes,4,2,434350.06,5678341.48,"F152,M151,M153","M154,M203",M203,"M203,M225",
285,Reg-2007-3,Region-2007,yes,4,3,442375.12,5684723.6,M154,,M203,M226,
286,Reg-2007-4,Region-2007,yes,4,4,450341.36,5686287.96,M154,"F178,F180,M179","F178,F204,F205","F178,F204,F205",
287,Reg-2007-5,Region-2007,yes,4,5,465065.83,5686099.43,M155,M160,,M185,
288,Reg-2007-6,Region-2007,yes,4,6,480152.02,5681647.6,,,M165,"M165,M185",
289,Reg-2007-7,Region-2007,yes,4,7,488515.41,5681286.52,,F181,,,
290,Reg-2007-8,Region-2007,yes,4,8,495487.04,5684649.02,"F156,M157,M165",M182,,,
291,Reg-2007-9,Region-2007,yes,4,9,505419.45,5681030,,,M206,,
292,Reg-2007-10,Region-2007,yes,4,10,513385.66,5683774.84,,M182,,,
293,Reg-2007-11,Region-2007,yes,4,11,434574.67,5671500.25,"F158,M159,M203",,M159,M225,
294,Reg-2007-12,Region-2007,yes,4,12,446543.74,5677056.13,M159,,"M151,M155",,
295,Reg-2007-13,Region-2007,yes,4,13,453087.02,5675518.49,,F184,F207,M227,
296,Reg-2007-14,Region-2007,yes,4,14,461504.45,5675335.37,M160,,,,
297,Reg-2007-15,Region-2007,yes,4,15,474566.29,5673081.2,,M185,,M185,
298,Reg-2007-16,Region-2007,yes,4,16,484768.07,5677474.37,,M165,F208,,
299,Reg-2007-17,Region-2007,yes,4,17,494769.48,5677013.28,,,,F228,
300,Reg-2007-18,Region-2007,yes,4,18,505234.91,5677324.67,,,,M206,
301,Reg-2007-19,Region-2007,yes,4,19,518142.69,5679728.43,M161,M186,,,
302,Reg-2007-20,Region-2007,yes,4,20,529250.93,5680738.08,M187,,,,
303,Reg-2007-21,Region-2007,yes,4,21,537810.55,5673242.67,,M187,,M162,
304,Reg-2007-22,Region-2007,yes,4,22,543046.11,5675098.55,M162,M187,,,
305,Reg-2007-23,Region-2007,yes,4,23,555749.3,5673862.61,,,,,
306,Reg-2007-24,Region-2007,yes,4,24,432996.75,5668853.09,,F169,,,
307,Reg-2007-25,Region-2007,yes,4,25,446731.82,5665444.94,M163,,M209,,
308,Reg-2007-26,Region-2007,yes,4,26,453962.82,5669221.35,,F188,M159,F207,
309,Reg-2007-27,Region-2007,yes,4,27,462752.97,5666464.39,,M189,,,
310,Reg-2007-28,Region-2007,yes,4,28,470690.56,5662930.36,,F210,"F210,M211",F210,
311,Reg-2007-29,Region-2007,yes,4,29,487150.19,5663383.26,,,,"F213,F229",
312,Reg-2007-30,Region-2007,yes,4,30,493239.63,5662839.73,M161,M161,"F212,M161","F212,M219",
313,Reg-2007-31,Region-2007,yes,4,31,498322.48,5670025.13,"F164,M165,M166","F164,F190",M186,,
314,Reg-2007-32,Region-2007,yes,4,32,517671.93,5662066.76,M166,M187,,,
315,Reg-2007-33,Region-2007,yes,4,33,527580.74,5668525.22,,M231,M162,"F230,M231",
316,Reg-2007-34,Region-2007,yes,4,34,535492.58,5665960.25,M162,,,,
317,Reg-2007-35,Region-2007,yes,4,35,544888.05,5662478.48,,,,,
318,Reg-2007-36,Region-2007,yes,4,36,557411.01,5666008.5,,,,,
319,Reg-2007-37,Region-2007,yes,4,37,562181.68,5661917.29,,,M109,,
320,Reg-2007-38,Region-2007,yes,4,38,429815.64,5657851.08,M167,F232,,"F232,M167",
321,Reg-2007-39,Region-2007,yes,4,39,441497.33,5658585.89,"F168,F169,F170,M163",,,F168,
322,Reg-2007-40,Region-2007,yes,4,40,455983.6,5660934.96,,F188,F97,M163,
323,Reg-2007-41,Region-2007,yes,4,41,460249.17,5653337.99,"F171,M163",,F194,,
324,Reg-2007-42,Region-2007,yes,4,42,478459.1,5656872,,F191,F213,"F213,F233",
325,Reg-2007-43,Region-2007,yes,4,43,487903.17,5655678.52,M172,,F212,F212,
326,Reg-2007-44,Region-2007,yes,4,44,495986.73,5656555.56,,F214,F214,"F214,F234",
327,Reg-2007-45,Region-2007,yes,4,45,502672.31,5652275.13,"F192,M172",F192,,F235,
328,Reg-2007-46,Region-2007,yes,4,46,511809.75,5656074.49,,M193,,,
329,Reg-2007-47,Region-2007,yes,4,47,525364.22,5656683.03,,M231,,,
330,Reg-2007-48,Region-2007,yes,4,48,537568.63,5653693.57,,,,,
